Material at Origin,Land Use at Origin,Size,"Suppressed 
by",Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Suspected Ignition Cause,Equipment Facility Failure,Contact From Object,Contributing Factor,Suppressed by,"Voltage
(Volts)",Fire Size,Fire Suppressed by,Nominal Voltage
Vegetation,Conifer Forest,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Agriculture,<0.25,Fire Agency,0-750,Grounding Wire,Overhead,N,Equipment - PG&E,Other,,Other,,,,,
Building,Herbaceous,Structure-only,Cal Fire,0-750,Service Drop,Overhead,N,Vandalism,,,,,,,,
Other,Urban,<0.25,Fire Agency,0-750,Conductor - Racked Secondary,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Water,<3 meters of linear travel,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Animal,,,,,,
Vegetation,Hardwood Woodland,<3 meters of linear travel,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Urban,0.26-9.99,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vehicle,,,,,,
Vegetation,Agriculture,<0.25,Cal Fire,21000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Agriculture,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Urban,<3 meters of linear travel,Cal Fire,12000,Conductor - Primary,Overhead,Y,Equipment - PG&E,Conductor failure-all,,,,,,,
Vegetation,Urban,<3 meters of linear travel,Fire Agency,0-750,Conductor - Racked Secondary,Overhead,Y,Wire-to-wire contact,,,,,,,,
Vegetation,Urban,<0.25,Fire Agency,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Urban,<3 meters of linear travel,Fire Agency,0-750,Conductor - Racked Secondary,Overhead,Y,Contact from Object,,Vegetation,,,,,,
Vegetation,Conifer Forest,<0.25,Fire Agency,21000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Conifer Forest,<0.25,Cal Fire,12000,Conductor - Primary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
Vegetation,Urban,Structure-only,Fire Agency,0-750,Conductor - Open Wire Secondary,Overhead,Y,Contact from Object,,Vegetation,Weather - High Winds,,,,,
