feeder,percentage overhead,percentage transformers overloaded,percentage line length overloaded,risk factor
p28uhs7_1247--p28udt3580,98.0271,0.0,52.49300783266667,150.52010783266667
p5uhs9_1247--p5udt8930,100.0,0.0,31.52226377745778,131.5222637774578
p16uhs27_1247--p16udt4424,94.0322,0.0,16.35132815532,110.38352815532001
p3uhs9_1247--p3udt2493,100.0,0.0,4.252580369606494,104.25258036960649
p24uhs0_1247--p24udt1594,100.0,0.0,4.199737148590453,104.19973714859046
p31uhs6_1247--p31udt2458,100.0,0.0,3.510132847145726,103.51013284714573
p20uhs5_1247--p20udt5244,100.0,0.0,3.0601745680469175,103.06017456804692
p13uhs23_1247--p13udt8185,100.0,0.0,3.051047752732032,103.05104775273203
p23uhs8_1247--p23udt5368,100.0,0.0,2.9733713143808576,102.97337131438086
p19uhs9_1247--p19udt4654,100.0,0.0,2.96415602934492,102.96415602934492
p11uhs4_1247--p11udt9297,100.0,0.0,2.3492253099357963,102.34922530993579
p13uhs13_1247--p13udt21420,100.0,0.0,2.2913834565272326,102.29138345652723
p6uhs4_1247--p6udt1429,100.0,0.0,1.6154202503112811,101.61542025031127
p9uhs7_1247--p9udt14486,100.0,0.0,1.5265928668864677,101.52659286688647
p31uhs5_1247--p31udt3741,100.0,0.0,1.439928153554913,101.43992815355492
p5uhs38_1247--p5udt29319,98.9506,0.0,2.4482858612484177,101.39888586124842
p16uhs16_1247--p16udt15559,100.0,0.0,1.1930178250141126,101.19301782501411
p18uhs12_1247--p18udt12391,100.0,0.0,1.0297262742039215,101.02972627420392
p12uhs2_1247--p12udt613,100.0,0.0,1.0056340046931407,101.00563400469314
p5uhs0_1247--p5udt1211,98.8575,0.0,1.0827169554445284,99.94021695544453
p12uhs8_1247--p12udt2748,96.5773,0.0,2.930683298975748,99.50798329897574
p13uhs23_1247--p13udt28279,95.9338,0.002770083102493075,3.156240137609257,99.09281022071175
p13uhs9_1247--p13udt23087,96.0009,0.002380952380952381,2.9181603409936208,98.92144129337457
p20uhs0_1247--p20udt2951,95.2139,0.0,2.984671731776897,98.1985717317769
p7uhs2_1247--p7udt6113,95.6478,0.0,2.499499699618695,98.1472996996187
p11uhs12_1247--p11udt5856,95.6468,0.005405405405405406,2.093110139200217,97.74531554460563
p6uhs5_1247--p6udt1821,96.1498,0.0,1.5409073227044652,97.69070732270447
p11uhs0_1247--p11udt7782,95.5002,0.0,2.158184418015014,97.65838441801502
p3uhs3_1247--p3udt2520,94.516,0.0,3.0861678708456264,97.60216787084563
p20uhs0_1247--p20udt192,94.3955,0.0,3.1910308725399226,97.58653087253992
p12uhs4_1247--p12udt6604,94.5204,0.0,2.964601545007004,97.485001545007
p13uhs5_1247--p13udt7430,94.3161,0.0,3.1634246258632777,97.47952462586328
p5uhs42_1247--p5udt147,95.5281,0.0,1.7421161936191008,97.27021619361909
p13uhs29_1247--p13udt19739,94.1654,0.003875968992248062,3.062714232219909,97.23199020121216
p12uhs2_1247--p12udt595,94.18299999999999,0.001736111111111111,2.9724588027381804,97.15719491384928
p2uhs3_1247--p2udt9325,93.8827,0.0,2.667310129799605,96.5500101297996
p9uhs8_1247--p9udt16190,94.1469,0.0,2.3728803195849477,96.51978031958495
p5uhs19_1247--p5udt33408,93.9817,0.0,2.480760369136469,96.46246036913647
p22uhs8_1247--p22udt11438,93.677,0.0,2.7772275980771624,96.45422759807717
p9uhs8_1247--p9udt3263,93.0198,0.0,3.2905643303286194,96.31036433032862
p2uhs12_1247--p2udt4058,93.1598,0.003937007874015748,2.8464848173294013,96.01022182520342
p3uhs8_1247--p3udt8281,92.9114,0.0,3.01144661917242,95.92284661917242
p1uhs0_1247--p1udt1469,93.2119,0.0,2.656327719195432,95.86822771919543
p13uhs22_1247--p13udt4504,92.7368,0.0,2.961842618958583,95.69864261895859
p3uhs2_1247--p3udt10578,92.7072,0.0,2.964588540621089,95.6717885406211
p5uhs16_1247--p5udt6367,93.3022,0.0,2.2878170968137104,95.59001709681371
p3uhs7_1247--p3udt4196,92.5934,0.0,2.9333650857536977,95.5267650857537
p12uhs5_1247--p12udt6981,92.8141,0.0,2.6322043950330336,95.44630439503302
p9uhs1_1247--p9udt3091,92.6267,0.0,2.809903919610952,95.43660391961095
p6uhs1_1247--p6udt6475,92.6296,0.0,2.783016573999445,95.41261657399944
p20uhs5_1247--p20udt1615,92.4143,0.0,2.9022778118322834,95.31657781183227
p6uhs8_1247--p6udt319,93.1624,0.0,2.056751594182669,95.21915159418268
p13uhs8_1247--p13udt16281,92.3876,0.005309734513274336,2.7960381612504617,95.18894789576375
p2uhs7_1247--p2udt5979,92.3737,0.003125,2.6794469813887227,95.05627198138872
p6uhs1_1247--p6udt6482,92.6908,0.0,2.2943067825421846,94.98510678254218
p9uhs10_1247--p9udt24977,92.4947,0.0,2.404812338993839,94.89951233899383
p3uhs4_1247--p3udt10998,91.6326,0.0,3.2507094791593447,94.88330947915934
p3uhs6_1247--p3udt11346,91.773,0.0,2.9862685448499806,94.75926854484997
p2uhs13_1247--p2udt8610,91.4787,0.0,3.1652432351147497,94.64394323511475
p20uhs5_1247--p20udt945,91.4505,0.0015503875968992248,3.184477135256056,94.63652752285296
p13uhs2_1247--p13udt20071,91.523,0.0,3.0781038408118553,94.60110384081185
p13uhs21_1247--p13udt9158,91.3214,0.002074688796680498,3.2231026522553687,94.54657734105204
p20uhs0_1247--p20udt3072,91.7381,0.0,2.7732948816401897,94.51139488164019
p22uhs7_1247--p22udt5859,91.8473,0.0,2.587073477947867,94.43437347794787
p16uhs11_1247--p16udt11889,91.6022,0.0,2.7227587060502283,94.32495870605023
p13uhs6_1247--p13udt10979,91.0907,0.0021598272138228943,3.1867754367542656,94.27963526396807
